cie	symbol	industry
Royal Bank Of Canada	http://finance.yahoo.com/q?s=RY.TO	Financials
Toronto Dominion	http://finance.yahoo.com/q?s=TD.TO	Financials
Shopify 	http://finance.yahoo.com/q?s=SHOP.TO	Information Technology
Canadian Pacific Kansas City Ltd	http://finance.yahoo.com/q?s=CP.TO	Industrials
Canadian Natural Resources Ltd	http://finance.yahoo.com/q?s=CNQ.TO	Energy
Enbridge Inc	http://finance.yahoo.com/q?s=ENB.TO	Energy
Canadian National Railway	http://finance.yahoo.com/q?s=CNR.TO	Industrials
Bank Of Montreal	http://finance.yahoo.com/q?s=BMO.TO	Financials
Bank Of Nova Scotia	http://finance.yahoo.com/q?s=BNS.TO	Financials
Brookfield Corp Class A	http://finance.yahoo.com/q?s=BN.TO	Financials
Suncor Energy Inc	http://finance.yahoo.com/q?s=SU.TO	Energy
Constellation Software Inc	http://finance.yahoo.com/q?s=CSU.TO	Information Technology
Alimentation Couche Tard Inc	http://finance.yahoo.com/q?s=ATD.TO	Consumer Staples
Bce Inc	http://finance.yahoo.com/q?s=BCE.TO	Communication
Tc Energy Corp	http://finance.yahoo.com/q?s=TRP.TO	Energy
Waste Connections Inc	http://finance.yahoo.com/q?s=WCN.TO	Industrials
Canadian Imperial Bank Of Commerce	http://finance.yahoo.com/q?s=CM.TO	Financials
Manulife Financial Corp	http://finance.yahoo.com/q?s=MFC.TO	Financials
Nutrien Ltd	http://finance.yahoo.com/q?s=NTR.TO	Materials
Sun Life Financial Inc	http://finance.yahoo.com/q?s=SLF.TO	Financials
Cenovus Energy Inc	http://finance.yahoo.com/q?s=CVE.TO	Energy
Barrick Gold Corp	http://finance.yahoo.com/q?s=ABX.TO	Materials
Franco Nevada Corp	http://finance.yahoo.com/q?s=FNV.TO	Materials
Intact Financial Corp	http://finance.yahoo.com/q?s=IFC.TO	Financials
Telus Corp	http://finance.yahoo.com/q?s=T.TO	Communication
Agnico Eagle Mines Ltd	http://finance.yahoo.com/q?s=AEM.TO	Materials
National Bank Of Canada	http://finance.yahoo.com/q?s=NA.TO	Financials
Cgi Inc	http://finance.yahoo.com/q?s=GIB-A.TO	Information Technology
Restaurants Brands International 	http://finance.yahoo.com/q?s=QSR.TO	Consumer Discretionary
Thomson Reuters Corp	http://finance.yahoo.com/q?s=TRI.TO	Industrials
Wheaton Precious Metals Corp	http://finance.yahoo.com/q?s=WPM.TO	Materials
Fortis Inc	http://finance.yahoo.com/q?s=FTS.TO	Utilities
Fairfax Financial Holdings 	http://finance.yahoo.com/q?s=FFH.TO	Financials
Dollarama Inc	http://finance.yahoo.com/q?s=DOL.TO	Consumer Discretionary
Teck Resources 	http://finance.yahoo.com/q?s=TECK-B.TO	Materials
Wsp Global Inc	http://finance.yahoo.com/q?s=WSP.TO	Industrials
Pembina Pipeline Corp	http://finance.yahoo.com/q?s=PPL.TO	Energy
Tourmaline Oil Corp	http://finance.yahoo.com/q?s=TOU.TO	Energy
Cameco Corp	http://finance.yahoo.com/q?s=CCO.TO	Energy
Magna International Inc	http://finance.yahoo.com/q?s=MG.TO	Consumer Discretionary
Power Corporation Of Canada	http://finance.yahoo.com/q?s=POW.TO	Financials
Rogers Communications 	http://finance.yahoo.com/q?s=RCI-B.TO	Communication
Brookfield Infrastructure Partners	http://finance.yahoo.com/q?s=BIP-UN.TO	Utilities
First Quantum Minerals Ltd	http://finance.yahoo.com/q?s=FM.TO	Materials
Loblaw Companies Ltd	http://finance.yahoo.com/q?s=L.TO	Consumer Staples
Brookfield Asset Management 	http://finance.yahoo.com/q?s=BAM.TO	Financials
Metro Inc	http://finance.yahoo.com/q?s=MRU.TO	Consumer Staples
Open Text Corp	http://finance.yahoo.com/q?s=OTEX.TO	Information Technology
Tfi International Inc	http://finance.yahoo.com/q?s=TFII.TO	Industrials
Imperial Oil Ltd	http://finance.yahoo.com/q?s=IMO.TO	Energy
Emera Inc	http://finance.yahoo.com/q?s=EMA.TO	Utilities
Arc Resources Ltd	http://finance.yahoo.com/q?s=ARX.TO	Energy
Hydro One Ltd	http://finance.yahoo.com/q?s=H.TO	Utilities
Great West Lifeco Inc	http://finance.yahoo.com/q?s=GWO.TO	Financials
Cae Inc	http://finance.yahoo.com/q?s=CAE.TO	Industrials
Stantec Inc	http://finance.yahoo.com/q?s=STN.TO	Industrials
George Weston Ltd	http://finance.yahoo.com/q?s=WN.TO	Consumer Staples
Toromont Industries Ltd	http://finance.yahoo.com/q?s=TIH.TO	Industrials
Gfl Environmental  	http://finance.yahoo.com/q?s=GFL.TO	Industrials
Ia Financial Inc	http://finance.yahoo.com/q?s=IAG.TO	Financials
Descartes Systems Group Inc	http://finance.yahoo.com/q?s=DSG.TO	Information Technology
Cad Cash	http://finance.yahoo.com/q?s=CAD.TO	Cash and/or Derivatives
Ccl Industries Inc Class B	http://finance.yahoo.com/q?s=CCL.B.TO	Materials
Canadian Apartment Properties 	http://finance.yahoo.com/q?s=CAR-UN.TO	Real Estate
Tmx Group Ltd	http://finance.yahoo.com/q?s=X.TO	Financials
Canadian Tire Ltd Class A	http://finance.yahoo.com/q?s=CTC-A.TO	Consumer Discretionary
Firstservice  	http://finance.yahoo.com/q?s=FSV.TO	Real Estate
Element Fleet Management Corp	http://finance.yahoo.com/q?s=EFN.TO	Financials
Kinross Gold Corp	http://finance.yahoo.com/q?s=K.TO	Materials
Pan American Silver Corp	http://finance.yahoo.com/q?s=PAAS.TO	Materials
Snc Lavalin Inc	http://finance.yahoo.com/q?s=SNC.TO	Industrials
Altagas Ltd	http://finance.yahoo.com/q?s=ALA.TO	Utilities
Keyera Corp	http://finance.yahoo.com/q?s=KEY.TO	Energy
Air Canada 	http://finance.yahoo.com/q?s=AC.TO	Industrials
Saputo Inc	http://finance.yahoo.com/q?s=SAP.TO	Consumer Staples
Whitecap Resources Inc	http://finance.yahoo.com/q?s=WCP.TO	Energy
Lundin Mining Corp	http://finance.yahoo.com/q?s=LUN.TO	Materials
Gildan Activewear Inc	http://finance.yahoo.com/q?s=GIL.TO	Consumer Discretionary
Brookfield Renewable Partners 	http://finance.yahoo.com/q?s=BEP-UN.TO	Utilities
Parkland Corp	http://finance.yahoo.com/q?s=PKI.TO	Energy
Ivanhoe Mines Ltd Class A	http://finance.yahoo.com/q?s=IVN.TO	Materials
Algonquin Power Utilities Corp	http://finance.yahoo.com/q?s=AQN.TO	Utilities
Meg Energy Corp	http://finance.yahoo.com/q?s=MEG.TO	Energy
Alamos Gold Inc Class A	http://finance.yahoo.com/q?s=AGI.TO	Materials
Finning International Inc	http://finance.yahoo.com/q?s=FTT.TO	Industrials
Crescent Point Energy Corp	http://finance.yahoo.com/q?s=CPG.TO	Energy
Northland Power Inc	http://finance.yahoo.com/q?s=NPI.TO	Utilities
Riocan Real Estate Investment Trust	http://finance.yahoo.com/q?s=REI-UN.TO	Real Estate
West Fraser Timber Ltd	http://finance.yahoo.com/q?s=WFG.TO	Materials
Colliers International Group 	http://finance.yahoo.com/q?s=CIGI.TO	Real Estate
Onex Corp	http://finance.yahoo.com/q?s=ONEX.TO	Financials
Prairiesky Royalty Ltd	http://finance.yahoo.com/q?s=PSK.TO	Energy
Empire Ltd Class A	http://finance.yahoo.com/q?s=EMP.A.TO	Consumer Staples
Boyd Group Income Inc	http://finance.yahoo.com/q?s=BYD.TO	Industrials
B2Gold Corp	http://finance.yahoo.com/q?s=BTO.TO	Materials
Enerplus Corp	http://finance.yahoo.com/q?s=ERF.TO	Energy
Granite Real Estate Investment Sta	http://finance.yahoo.com/q?s=GRT.UN.TO	Real Estate
Ats Corp	http://finance.yahoo.com/q?s=ATS.TO	Industrials
Capital Power Corp	http://finance.yahoo.com/q?s=CPX.TO	Utilities
Quebecor Inc Class B	http://finance.yahoo.com/q?s=QBR.B.TO	Communication
Kinaxis Inc	http://finance.yahoo.com/q?s=KXS.TO	Information Technology
Bombardier Inc Class B	http://finance.yahoo.com/q?s=BBD.B.TO	Industrials
Ssr Mining Inc	http://finance.yahoo.com/q?s=SSRM.TO	Materials
